year,state,state_po,STATEFIP,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,party_simplified,vote_percentage
2016-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Stein, Jill",Green,False,25419,2808605,OTHER,0.9050400465711625
2016-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Castle, Darrell L.",Constitution Party,False,13092,2808605,OTHER,0.4661388838943176
2016-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,Unknown,Unknown,True,7156,2808605,OTHER,0.25478840919246387
2020-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Trump, Donald J.",Republican,False,1718736,3025962,REPUBLICAN,56.79965577888949
2020-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Biden, Joseph R. Jr",Democrat,False,1253014,3025962,DEMOCRAT,41.40878173618836
2020-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Jorgensen, Jo",Libertarian,False,41205,3025962,LIBERTARIAN,1.3617157122263928
2020-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Hawkins, Howie",Green,False,8283,3025962,OTHER,0.2737311307941078
2020-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Blankenship, Don",Constitution Party,False,3919,3025962,OTHER,0.12951253188242284
2020-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,Unknown,Unknown,True,0,3025962,OTHER,0.0
2020-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Wells, Kasey",Non-Affiliated,True,3,3025962,OTHER,9.91420249163737e-05
2020-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Simmons, Jade",Becoming One Nation,True,74,3025962,OTHER,0.0024455032812705515
2020-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"Carroll, Brian",American Solidarity Party,True,664,3025962,OTHER,0.02194343484815738
2020-01-01,MISSOURI,MO,29,43,34,US PRESIDENT,"La Riva, Gloria Estella",Party For Socialism And Liberation,True,64,3025962,OTHER,0.0021150298648826386
